"","code","name","min_negotiated_price","max_negotiated_price"
"2398","CPT-28060","fasciectomy plantar fascia partial spx",238.26,909.3
"2399","CPT-28062","fasciectomy plantar fascia radical spx",271.76,1113.06
"2400","CPT-28070","synvct intertarsal/tarsometatarsal jt ea spx",239.95,915.74
"2401","CPT-28072","synovectomy metatarsophalangeal joint each",222.88,875.7
"2402","CPT-28080","excision interdigital morton neuroma single e",244.37,932.62
"2403","CPT-28086","synovectomy tendon sheath foot flexor",243.64,933.04
"2404","CPT-28088","synovectomy tendon sheath foot extensor",195.99,811.15
"2405","CPT-28090","exc lesion tendon sheath/capsule w/synvct foo",207.84,795.4
"2406","CPT-28092","exc lesion tendon sheath/capsule w/synvct toe",182.85,734.41
"2407","CPT-28100","excision/curettage cyst/tumor talus/calcaneus",287.32,1096.53
"2408","CPT-28102","exc/curtg cst/b9 tum talus/clcns w/iliac/agrf",302.81,1270.7
"2409","CPT-28103","exc/curettage cyst/tumor talus/calcaneus algr",260.93,1165.55
"2410","CPT-28104","exc/curtg bone cyst/b9 tumortarsal/metatarsal",243.84,940.9
"2411","CPT-28106","exc/curtg cst/b9 tum tarsal/metar w/iliac/agr",298.65,1154.3
"2412","CPT-28107","exc/curtg cst/b9 tum tarsal/metar w/algrft",232.76,1022.94
"2413","CPT-28108","exc/curtg cst/b9 tum phalanges foot",201.26,776
"2414","CPT-28110","ostectomy prtl 5th metar head spx",195.7,776.64
"2415","CPT-28111","ostectomy complete 1st metatarsal head",216.44,920.67
"2416","CPT-28112","ostectomy complete other metatarsal head 2/3/",212.69,858.86
"2417","CPT-28113","ostectomy complete 5th metatarsal head",290.16,1107.36
"2418","CPT-28114","ostc compl all metar heads w/prtl prox phalan",570.88,2178.72
"2419","CPT-28116","ostectomy tarsal coalition",403.85,1541.28
"2420","CPT-28118","ostectomy calcaneus",278.41,1101.96
"2421","CPT-28119","ostectomy calcaneus spur w/wo plntar fascial",254.68,971.98
"2422","CPT-28120","partial excision bone talus/calcaneus",337.95,1289.75
"2423","CPT-28122","prtl exc b1 tarsal/metar b1 xcp talus/calcane",298.35,1272.6
"2424","CPT-28124","partical excision bone phalanx toe",232.03,896.45
"2425","CPT-28126","resection partial/complete phalangeal base ea",176,692.15
"2426","CPT-28130","talectomy astragalectomy",469.81,1792.98
"2427","CPT-28140","metatarsectomy",298.16,1237.12
"2428","CPT-28150","phalangectomy toe each toe",191.49,783.37
"2429","CPT-28153","resection condyle distal end phalanx each toe",188.52,719.46
"2430","CPT-28160","hemiphalangectomy/interphalangeal joint exc t",184.03,753.24
"2431","CPT-28171","rad rescj tumor tarsal except talus/calcaneus",559.21,2134.18
"2432","CPT-28173","radical resection tumor metatarsal",512.42,1955.63
"2433","CPT-28175","radical resection tumor phalanx or toe",326.67,1246.71
"2434","CPT-28190","removal foreign body foot subcutaneous",88.73,362.41
"2435","CPT-28192","removal foreign body foot deep",213.25,813.86
"2436","CPT-28193","removal foreign body foot complicated",250.44,955.77
"2437","CPT-28200","rpr tdn flxr foot 1/2 w/o free grafg each ten",213.18,863.3
"2438","CPT-28202","rpr tendon flxr foot sec w/free graft ea tend",281.08,1096.1
"2439","CPT-28208","repair tendon extensor foot 1/2 each tendon",207.94,793.59
"2440","CPT-28210","rpr tendon xtnsr foot sec w/free graft ea ten",272.46,1142.5
"2441","CPT-28220","tenolysis flexor foot single tendon",213.59,882.7
"2442","CPT-28222","tenolysis flexor foot multiple tendons",234.03,1030.53
"2443","CPT-28225","tenolysis extensor foot single tendon",175.55,712.62
"2444","CPT-28226","tenolysis extensor foot multiple tendon",209.12,863.32
"2445","CPT-28230","tx opn tendon flexor foot single/mult tendon",189.42,851.35
"2446","CPT-28232","tx open tendon flexor toe 1 tendon spx",176.12,714.6
"2447","CPT-28234","tenotomy open extensor foot/toe each tendon",181.92,722.18
"2448","CPT-28238","rcnstj pst tibl tdn w/exc accessory tarsl nav",346.75,1345.18
"2449","CPT-28240","tenotomy lengthening/rls abductor hallucis mu",194.86,829.16
"2450","CPT-28250","division plantar fascia&muscle spx",269.28,1027.7
"2451","CPT-28260","capsulotomy midfoot medial release only spx",351.42,1341.16
"2452","CPT-28261","capsulotomy midfoot w/tendon lengthening",515.29,1966.58
"2453","CPT-28262","capsul midfoot w/pst talotibl capsul&tdn lngt",827.95,3159.83
"2454","CPT-28264","capsulotomy midtarsal",476.51,1818.57
"2455","CPT-28270","capsul mttarphlngl jt w/wo tenorrhaphy ea jt",226.51,918.8
"2456","CPT-28272","capsulotomy iphal joint each joint spx",170.76,686.49
"2457","CPT-28280","syndactylization toes",224.95,928.25
"2458","CPT-28285","correction hammertoe",271.25,1038.09
"2459","CPT-28286","correction cock-up 5th toe w/plastic closure",216.54,873
"2460","CPT-28288","ostc prtl exostc/condylc metar head",307.85,1174.9
"2461","CPT-28289","hallux rigidus w/cheilectomy 1st mp jt w/o im",397.25,1516.09
"2462","CPT-28291","hallux rigidus w/cheilectomy 1st mp jt w/impl",355.27,1355.85
"2463","CPT-28292","corrj hallux valgus w/sesmdc w/rescj prox pha",434.89,1659.71
"2464","CPT-28295","corrj hallux valgus w/sesmdc w/prox metar ost",398.63,1521.35
"2465","CPT-28296","corrj hallux valgus w/sesmdc w/dist metar ost",374.44,1543.91
"2466","CPT-28297","corrj hallux valgus w/sesmdc w/1metar medial",421.91,1647.16
"2467","CPT-28298","corrj hallux valgus w/sesmdc w/prox phlnx ost",361.1,1378.11
"2468","CPT-28299","corrj hallux valgus w/sesmdc w/2 osteot",481.3,1836.84
"2469","CPT-28300","osteotomy calcaneus w/wo internal fixation",465.85,1777.88
"2470","CPT-28302","osteotomy talus",507.65,1937.4
"2471","CPT-28304","osteotomy tarsal bones oth/thn calcaneus/talu",419.53,1601.1
"2472","CPT-28305","osteot tarsal oth/thn calcaneus/talus w/agrft",447.03,1706.04
"2473","CPT-28306","osteot w/wo lngth shrt/corrj 1st metar",275.26,1050.5
"2474","CPT-28307","osteot w/wo lngth shrt/corrj metar xcp 1st to",326.45,1245.89
"2475","CPT-28308","osteot w/wo lngth shrt/corrj metar xcp 1st ea",254.1,980.32
"2476","CPT-28309","osteot w/wo lngth shrt/angular corrj metar ml",623.22,2378.48
"2477","CPT-28310","osteot shrt corrj prox phalanx 1st toe",237.25,950.93
"2478","CPT-28312","osteot shrt corrj oth phalanges any toe",216.21,872.67
"2479","CPT-28313","rcnstj angular dfrm toe soft tiss px only",256.82,980.14
"2480","CPT-28315","sesamoidectomy first toe spx",218.71,885.45
"2481","CPT-28320","repair nonunion/malunion tarsal bones",415.97,1587.52
"2482","CPT-28322","rpr non/malunion metarsal w/wo bone graft",391.67,1494.78
"2483","CPT-28340","rcnstj toe macrodactyly soft tissue resection",294.29,1157.42
"2484","CPT-28341","rcnstj toe macrodactyly requiring bone resect",349.78,1334.9
"2485","CPT-28344","reconstruction toe polydactyly",231.37,883.01
"2486","CPT-28345","rcnstj toe syndactyly w/wo skin graft each we",260.4,1159.93
"2487","CPT-28360","reconstruction cleft foot",775.55,2959.85
"2488","CPT-28400","closed tx calcaneal fracture w/o manipulation",166.25,634.47
"2489","CPT-28405","closed tx calcaneal fracture w/manipulation",237.18,905.17
"2490","CPT-28406","prq skeletal fixj calcaneal fracture w/manj",352.78,1346.35
"2491","CPT-28415","open treatment calcaneal fracture",787.91,3006.98
"2492","CPT-28420","open treatment calcaneal fracture w bone graf",851.14,3248.3
"2493","CPT-28430","closed tx talus fracture w/o manipulation",152.64,582.52
"2494","CPT-28435","closed tx talus fracture w/manipulation",179.13,692.15
"2495","CPT-28436","prq skeletal fixation talus fracture w/manj",309.79,1182.27
"2496","CPT-28445","open treatment talus fracture",759.87,2900
"2497","CPT-28446","open osteochondral autograft talus",992.18,3786.6
"2498","CPT-28450","tx tarsal bone fx xcp talus&calcn w/o manj",140.93,537.85
"2499","CPT-28455","tx tarsal bone fx xcp talus&calcn w/manj",187.68,716.26
"2500","CPT-28456","prq skel fixj tarsl fx xcp talus&calcns w/man",215.18,821.21
"2501","CPT-28465","open tx tarsal fracture xcp talus &calcaneus",422.04,1610.7
"2502","CPT-28470","closed tx metatarsal fracture w/o manipulatio",139.59,532.75
"2503","CPT-28475","cltx metar fx w/manj",165.02,629.8
"2504","CPT-28476","prq skel fixj metar fx w/manj",242.54,925.63
"2505","CPT-28485","open treatment metatarsal fracture each",358.96,1369.95
"2506","CPT-28490","cltx fx grt toe phlx/phlg w/o manj",91.76,350.19
"2507","CPT-28495","cltx fx grt toe phlx/phlg w/manj",109.94,419.56
"2508","CPT-28496","prq skel fixj fx grt toe phlx/phlg w/manj",158.92,606.51
"2509","CPT-28505","open tx fracture great toe/phalanx/phalanges",338.89,1293.33
"2510","CPT-28510","cltx fx phlx/phlg oth/thn grt toe w/o manj",87.23,333.55
"2511","CPT-28515","cltx fx phlx/phlg oth/thn grt toe w/manj",102.87,392.59
"2512","CPT-28525","open tx fracture phalanx/phalanges not great",265.95,1014.98
"2513","CPT-28530","closed treatment sesamoid fracture",73.7,289.51
"2514","CPT-28531","open tx sesamoid fracture w/wo internal fixat",136.38,520.5
"2515","CPT-28540","cltx tarsal dislc oth/thn talotarsal w/o anes",133.05,507.77
"2516","CPT-28545","cltx tarsal dislc oth/thn talotarsal w/anes",181.39,692.28
"2517","CPT-28546","prq skel fixj tarsl dislc xcp talotarsal w/ma",227.92,869.84
"2518","CPT-28555","open treatment tarsal bone dislocation",445.4,1699.84
"2519","CPT-28570","closed tx talotarsal joint dislc w/o anes",99.73,424.36
"2520","CPT-28575","closed tx talotarsal joint dislocation w/anes",220.52,841.59
"2521","CPT-28576","prq skel fixj talotarsal jt dislc w/manj",277.36,1083.33
"2522","CPT-28585","open treatment talotarsal joint dislocation",451.18,1721.9
"2523","CPT-28600","closed tx tarsometatarsal dislocation w/o ane",136.07,519.31
"2524","CPT-28605","closed tx tarsometatarsal dislocation w/anes",193.59,819.38
"2525","CPT-28606","prq skel fixj tars jt dislc w/manj",270.17,1031.09
"2526","CPT-28615","open treatment tarsometatarsal joint dislocat",543.54,2074.37
"2527","CPT-28630","cltx metatarsophlngl jt dislc w/o anes",77.67,296.42
"2528","CPT-28635","cltx metatarsophlngl jt dislc req anes",89.6,341.97
"2529","CPT-28636","prq skel fixj metatarsophlngl jt dislc w/manj",143.78,581.28
"2530","CPT-28645","open tx metatarsophalangeal joint dislocation",326.81,1247.24
"2531","CPT-28660","cltx interphalangeal joint dislocation w/o an",63.73,243.23
"2532","CPT-28665","cltx interphalangeal joint dislocation req an",89.03,339.79
"2533","CPT-28666","prq skel fixj interphalangeal joint dislc w/m",134.27,512.44
"2534","CPT-28675","open treatment interphalangeal joint dislocat",288.45,1123.59
"2535","CPT-28705","arthrodesis pantalar",902.18,3443.11
"2536","CPT-28715","arthrodesis triple",668.12,2549.84
"2537","CPT-28725","arthrodesis subtalar",548.57,2093.56
"2538","CPT-28730","arthrd midtarsl/tarsometatarsal mult/transvrs",520.62,1986.89
"2539","CPT-28735","arthrd midtarsl/tars mlt/transvrs w/osteot",558.86,2132.83
"2540","CPT-28737","arthrd w/tdn lngth&advmnt tarsl nvclr-cuneifo",477.82,1823.55
"2541","CPT-28740","arthrodesis midtarsometatarsal single joint",445.06,1698.56
"2542","CPT-28750","arthrodesis great toe metatarsophalangeal joi",394.38,1505.12
"2543","CPT-28755","arthrodesis great toe interphalangeal joint",237.78,907.47
"2544","CPT-28760","arthrd w/xtnsr hallucis longus tr 1st metar n",414.41,1581.55
"2545","CPT-28800","amputation foot midtarsal",383.19,1462.41
"2546","CPT-28805","amputation foot transmetarsal",521.08,1988.67
"2547","CPT-28810","amputation metatarsal w/toe single",293.9,1121.65
"2548","CPT-28820","amputation toe metatarsophalangeal joint",267.69,1021.64
"2549","CPT-28825","amputation toe interphalangeal joint",251.38,959.38
"2550","CPT-28890","eswt hi nrg phys/qhp w/us gdn invg plntar fas",269.88,569.1
"2551","CPT-28899","unlisted procedure foot/toes",Inf,-Inf
"2552","CPT-29000","application halo type body cast",95.75,365.41
"2553","CPT-29010","application risser jacket localizer body only",72.41,354.53
"2554","CPT-29015","application risser jacket localizer body w/he",95.88,365.9
"2555","CPT-29035","application body cast shoulder hips",76.99,293.83
"2556","CPT-29040","application body cast shoulder hips head mine",78.13,317.19
"2557","CPT-29044","application body cast shoulder hips w/one thi",89.86,342.96
"2558","CPT-29046","application body cast shoulder hips both thig",95.04,369.9
"2559","CPT-29049","application cast figure-of-8",37.51,143.17
"2560","CPT-29055","application cast shoulder spica",74.08,282.72
"2561","CPT-29058","application cast plaster velpeau",40.86,170.49
"2562","CPT-29065","application cast shoulder hand long arm",36.63,139.78
"2563","CPT-29075","application cast elbow finger short arm",33.63,128.36
"2564","CPT-29085","application cast hand&lower forearm gauntlet",36.07,137.67
"2565","CPT-29086","application cast finger",27.73,105.84
"2566","CPT-29105","application long arm splint shoulder hand",22.95,116.28
"2567","CPT-29125","application short arm splint forearm-hand sta",21.13,151.82
"2568","CPT-29126","application short arm splint dynamic",25.85,100.71
"2569","CPT-29130","application finger splint static",14.82,56.55
"2570","CPT-29131","application finger splint dynamic",17.75,67.76
"2571","CPT-29200","strapping thorax",13.3,75.67
"2572","CPT-29240","strapping shoulder",13.3,82.88
"2573","CPT-29260","strapping elbow/wrist",13.86,73.03
"2574","CPT-29280","strapping hand/finger",14.98,70.61
"2575","CPT-29305","application hip spica cast 1 leg",85.13,361.19
"2576","CPT-29325","appl hip spica cast one&one-half spica/both l",95.28,416.13
"2577","CPT-29345","application long leg cast thigh-toe",53.82,205.38
"2578","CPT-29355","application long leg cast walker/ambulatory t",57.32,218.75
"2579","CPT-29358","application long leg cast brace",55.45,228.18
"2580","CPT-29365","application cylinder cast thigh ankle",46.92,179.05
"2581","CPT-29405","application short leg cast below knee-toe",31.87,198.17
"2582","CPT-29425","application short leg cast walking/ambulatory",30.16,160.61
"2583","CPT-29435","application patellar tendon bearing cast",45.58,183.41
"2584","CPT-29440","adding walker previously applied cast",19.24,73.42
"2585","CPT-29445","application rigid total contact leg cast",55.24,227.99
"2586","CPT-29450","appl clubfoot cast molding/manj long/short le",58.96,225.01
"2587","CPT-29505","application long leg splint thigh ankle/toes",26.19,100.69
"2588","CPT-29515","application short leg splint calf foot",26.11,150.11
"2589","CPT-29520","strapping hip",13.58,70.54
"2590","CPT-29530","strapping knee",13.3,74.44
"2591","CPT-29540","strapping ankle &/foot",13.59,57.5
"2592","CPT-29550","strapping toes",8.09,52.83
"2593","CPT-29580","strapping unna boot",18.72,82.18
"2594","CPT-29581","appl mltlayr compres leg below knee w/ankle f",9.38,56.86
"2595","CPT-29584","appl mltlayr compres sys uparm lwarm hand&fin",7.77,31.19
"2596","CPT-29700","removal/bivalving gauntlet boot/body cast",24.09,91.93
"2597","CPT-29705","removal/bivalving full arm/full leg cast",33,125.94
"2598","CPT-29710","rmvl/bivalv sho/hip spica minerva/risser jack",54.66,208.61
"2599","CPT-29720","repair spica body cast/jacket",22.95,87.6
"2600","CPT-29730","windowing cast",23.56,148.07
"2601","CPT-29740","wedging cast except clubfoot casts",33.71,128.67
"2602","CPT-29750","wedging clubfoot cast",40.38,154.1
"2603","CPT-29799","unlisted procedure casting/strapping",Inf,-Inf
"2604","CPT-29800","arthrs temporomandibulr jt dx w/wo synval bx",350.7,1338.43
"2605","CPT-29804","arthroscopy temporomandibular joint surgical",443.24,1771.32
"2606","CPT-29805","diagnostic arthroscopy shoulder +- synovial b",322.49,1306.76
"2607","CPT-29806","surgical arthroscopy shoulder capsulorrhaphy",721.02,2751.74
"2608","CPT-29807","surgical arthroscopy shoulder repair slap les",702.51,2681.06
"2609","CPT-29819","surgical arthroscopy shoulder removal loose/f",400.01,1526.61
"2610","CPT-29820","surgical arthroscopy shoulder prtl synovectom",368.36,1405.81
"2611","CPT-29821","surgical arthroscopy shoulder compl synovecto",391.32,1493.43
"2612","CPT-29822","surgical arthroscopy shoulder lmtd dbrdmt 1/2",380.84,1453.45
"2613","CPT-29823","surgical arthroscopy shoulder xtnsv dbrdmt 3+",415.7,1586.5
"2614","CPT-29824","surgical arthroscopy shoulder dstl claviculc",448.59,1711.99
"2615","CPT-29825","surgical arthroscopy shoulder w/lss&rescj ads",387.14,1477.48
"2616","CPT-29826","surgical arthroscopy sho w/coracoacrm ligm rl",118.51,1466.17
"2617","CPT-29827","surgical arthroscopy shoulder w/rotator cuff",707.24,2902.51
"2618","CPT-29828","surgical arthroscopy shoulder biceps tenodesi",656.96,2507.25
"2619","CPT-29830","arthroscopy elbow diag w/wo synovial biopsy s",310.21,1219.43
"2620","CPT-29834","arthroscopy elbow surgical w/removal loose/fb",336.94,1328.98
"2621","CPT-29835","arthroscopy elbow surgical synovectomy partia",345.54,1356.64
"2622","CPT-29836","arthroscopy elbow surgical synovectomy comple",385.45,1563.68
"2623","CPT-29837","arthroscopy elbow surgical debridement limite",350.48,1428.42
"2624","CPT-29838","arthroscopy elbow surgical debridement extens",403.69,1596.33
"2625","CPT-29840","arthroscopy wrist diag w/wo synovial biopsy s",302.72,1191.72
"2626","CPT-29843","arthroscopy wrist infection lavage&drainage",330.17,1275.51
"2627","CPT-29844","arthroscopy wrist surgical synovectomy partia",342.85,1337.75
"2628","CPT-29845","arthroscopy wrist surgical synovectomy comple",394.64,1518.4
"2629","CPT-29846","arthrs wrst exc&/rpr triang fibrocart&/joint",357.57,1402.17
"2630","CPT-29847","arthroscopy wrist surg int fixj fx/instabilit",369.53,1451.16
"2631","CPT-29848","ndsc wrst surg w/rls transvrs carpl ligm",351.56,1341.7
"2632","CPT-29850","arthroscopy aid tx spine&/fx knee w/o fixj",374.62,1429.73
"2633","CPT-29851","arthroscopy aid tx spine&/fx knee w/fixj",611.7,2334.52
"2634","CPT-29855","arthrs aid tibial fracture proximal unicondyl",535.26,2111.86
"2635","CPT-29856","arthrs aid tibial fx prox unicondylar bicondy",675.31,2707.85
"2636","CPT-29860","arthroscopy hip diagnostic w/wo synovial byp",453.82,1731.97
"2637","CPT-29861","arthroscopy hip surgical w/removal loose/fb",494.58,1887.54
"2638","CPT-29862","arthrs hip debridement/shaving articular crtl",540.33,2062.11
"2639","CPT-29863","arthroscopy hip surgical w/synovectomy",541.26,2065.69
"2640","CPT-29866","arthroscopy knee osteochondral agrft mosaicpl",744.71,2842.13
"2641","CPT-29867","arthroscopy knee osteochondral allograft",866.41,3306.58
"2642","CPT-29868","arthroscopy knee meniscal trnsplj med/lat",1182.59,4513.26
"2643","CPT-29870","arthroscopy knee diagnostic w/wo synovial bx",282.37,1077.64
"2644","CPT-29871","arthroscopy knee infection lavage & drainage",351.19,1340.28
"2645","CPT-29873","arthroscopy knee lateral release",359.79,1373.13
"2646","CPT-29874","arthroscopy knee removal loose/foreign body",367.19,1401.36
"2647","CPT-29875","arthroscopy knee synovectomy limited spx",338.74,1292.76
"2648","CPT-29876","arthroscopy knee synovectomy 2/>compartments",447.65,1708.44
"2649","CPT-29877","arthrs knee debridement/shaving artclr crtlg",425.53,1624
"2650","CPT-29879","arthrs knee abrasion arthrp/mlt drlg/microfx",452.15,1725.6
"2651","CPT-29880","arthrs knee w/meniscectomy med&lat w/shaving",385.14,1469.87
"2652","CPT-29881","arthrs kne surg w/meniscectomy med/lat w/shvg",370.91,1642.25
"2653","CPT-29882","arthroscopy knee w/meniscus rpr medial/latera",476.36,1817.98
"2654","CPT-29883","arthroscopy knee w/meniscus rpr medial&latera",572.15,2183.55
"2655","CPT-29884","arthroscopy knee w/lysis adhesions w/wo manj",424.61,1620.49
"2656","CPT-29885","arthrs knee drill osteochondritis dissecans g",511.85,1953.45
"2657","CPT-29886","arthrs knee drilling osteochond dissecans les",433.23,1653.41
"2658","CPT-29887","arthrs knee drlg osteochond dissecans int fix",509.82,1945.68
"2659","CPT-29888","arthrs aided ant cruciate ligm rpr/agmntj/rcn",671.61,2563.16
"2660","CPT-29889","arthrs aided pst cruciate ligm rpr/agmntj/rcn",820.39,3130.96
"2661","CPT-29891","arthrs ankle exc ostchndrl dfct w/drlg dfct",451.93,1728.23
"2662","CPT-29892","arthrs aid rpr les/talar dome fx/tibl plafond",412.85,1823.46
"2663","CPT-29893","endoscopic plantar fasciotomy",254.95,973
"2664","CPT-29894","arthroscopy ankle w/removal loose/foreign bod",338.04,1394.38
"2665","CPT-29895","arthroscopy ankle surgical synovectomy partia",319.57,1368.48
"2666","CPT-29897","arthroscopy ankle surgical debridement limite",339.52,1437.97
"2667","CPT-29898","arthroscopy ankle surgical debridement extens",386.18,1585.93
"2668","CPT-29899","arthroscopy ankle surgical w/ankle arthrodesi",704.17,2756.27
"2669","CPT-29900","arthroscopy metacarpophalangeal synovial biop",319.49,1219.29
"2670","CPT-29901","arthrs metacarpophalangeal joint debridement",362.02,1381.64
"2671","CPT-29902","arthrs mtcarphlngl jt w/rdctj ur coltrl ligm",400.88,1529.93
"2672","CPT-29904","arthrs subtalar joint remove loose/foreign bo",453.03,1728.96
"2673","CPT-29905","arthroscopy subtalar joint with synovectomy",452.09,1863.01
"2674","CPT-29906","arthroscopy subtalar joint with debridement",517.21,1973.88
"2675","CPT-29907","arthroscopy subtalar joint subtalar arthrodes",621.93,2373.53
"2676","CPT-29914","arthroscopy hip w/femoroplasty",666.74,2544.55
"2677","CPT-29915","arthroscopy hip w/acetabuloplasty",679,2591.36
"2678","CPT-29916","arthroscopy hip w/labral repair",679,2591.36
"2679","CPT-29999","unlisted procedure arthroscopy",Inf,-Inf
"2680","CPT-30000","drainage abscess/hematoma nasal int approach",86.44,329.88
"2681","CPT-30020","drainage abscess/hematoma nasal septum",86.47,330
"2682","CPT-30100","biopsy intranasal",49.3,188.15
"2683","CPT-30110","excision nasal polyp simple",94.4,360.29
"2684","CPT-30115","excision nasal polyp extensive",291.12,1111.03
"2685","CPT-30117","excision/destruction intranasal lesion int ap",228.8,873.2
"2686","CPT-30118","excision/destruction intranasal lesion xtrnl",525.2,2004.38
"2687","CPT-30120","excision/surgical planing skin nose rhinophym",284.34,1085.18
"2688","CPT-30124","excision dermoid cyst nose simple subcutaneou",188.29,718.58
"2689","CPT-30125","exc dermoid cyst nose complex under bone/crtl",406.28,1550.53
"2690","CPT-30130","excision inferior turbinate partial/complete",257.98,984.55
"2691","CPT-30140","submucous rescj inferior turbinate prtl/compl",176.29,1142.94
"2692","CPT-30150","rhinectomy partial",510.93,1949.94
"2693","CPT-30160","rhinectomy total",513.81,1960.91
"2694","CPT-30200","injection turbinate therapeutic",43.23,165
"2695","CPT-30210","displacement therapy proetz type",72.71,277.5
"2696","CPT-30220","insertion nasal septal prosthesis button",83.63,319.17
"2697","CPT-30300","removal foreign body intranasal office proced",93.6,357.23
"2698","CPT-30310","removal foreign body intranasal general anes",139.91,533.94
"2699","CPT-30320","rmvl foreign body intranasal lateral rhinotom",305.16,1164.62
"2700","CPT-30400","rhinp prim lat&alar crtlgs&/elvtn nasal ti",678.64,2589.98
"2701","CPT-30410","rhinp prim complete xtrnl parts",873.78,4500
"2702","CPT-30420","rhinoplasty primary w/major septal repair",910.72,3475.68
"2703","CPT-30430","rhinoplasty secondary minor revision",616.4,2407.97
"2704","CPT-30435","rhinoplasty secondary intermediate revision",769.67,2937.38
"2705","CPT-30450","rhinoplasty secondary major revision",992.25,3786.86
"2706","CPT-30460","rhinp dfrm w/colum lngth tip only",511.5,1952.1
"2707","CPT-30462","rhinp dfrm colum lngth tip septum osteot",1041.85,3976.13
"2708","CPT-30465","repair nasal vestibular stenosis",652.87,2491.63
"2709","CPT-30468","rpr nsl vlv collapse subq/sbmcsl lat wall imp",104.73,399.68
"2710","CPT-30520","septoplasty/submucous resecj w/wo cartilage g",419.27,1600.13
"2711","CPT-30540","repair choanal atresia intranasal",475.77,1815.73
"2712","CPT-30545","repair choanal atresia transpalatine",612.43,2337.29
"2713","CPT-30560","lysis intranasal synechia",94.04,358.91
"2714","CPT-30580","repair fistula oromaxillary",338.35,1291.29
"2715","CPT-30600","repair fistula oronasal",291.31,1111.77
"2716","CPT-30620","septal/other intranasal dermatoplasty",420.83,1606.08
"2717","CPT-30630","repair nasal septal perforations",417.88,1594.8
"2718","CPT-30801","abltj soft tis inferior turbinates uni/bi sup",93.66,357.44
"2719","CPT-30802","abltj sof tiss inf turbs uni/bi supfc intramu",128.27,489.55
"2720","CPT-30901","control nasal hemorrhage anterior simple",38.85,148.27
"2721","CPT-30903","control nasal hemorrhage anterior complex",52.82,201.57
"2722","CPT-30905","ctrl nsl hemrrg pst nasal packs&/cautery 1st",66.35,253.21
"2723","CPT-30906","ctrl nsl hemrrg pst nasal packs&/cautery subs",86.76,331.11
"2724","CPT-30915","ligation arteries ethmoidal",383.43,1463.33
"2725","CPT-30920","ligation arteries int maxillary transantral",553.1,2110.86
"2726","CPT-30930","fracture nasal inferior turbinate therapeutic",83.33,318.03
"2727","CPT-30999","unlisted procedure nose",5900,5900
"2728","CPT-31000","lavage cannulation maxillary sinus",71.76,273.85
"2729","CPT-31002","lavage cannulation sphenoid sinus",80.96,558.73
"2730","CPT-31020","sinusotomy maxillary antrotomy intranasal",243.59,929.66
"2731","CPT-31030","sinusotomy maxillary rad w/o rmvl antroch pol",358.92,1369.79
"2732","CPT-31032","sinusot max antrt rad w/rmvl antroch polyps",394.01,1514.87
"2733","CPT-31040","pterygomaxillary fossa surgery any approach",521.93,1991.89
"2734","CPT-31050","sinusotomy sphenoid w/wo biopsy",324.6,1299.8
"2735","CPT-31051","sinusot sphenoid w/mucosal stripping/rmvl pol",432.31,1649.88
"2736","CPT-31070","sinusotomy frontal external simple",296.55,1131.77
"2737","CPT-31075","sinusotomy frontal transorbital unilateral",537.85,2052.68
"2738","CPT-31080","sinusotomy frnt obliterative w/o flap brow in",708.29,2703.15
"2739","CPT-31081","sinusot frnt oblit w/o ostpl flap coronal inc",946.06,3775.47
"2740","CPT-31084","sinusot frnt oblit w/ostpl flap brow inc",789.81,3014.26
"2741","CPT-31085","sinusot frnt oblit w/ostpl flap coronal inc",896.96,3423.18
"2742","CPT-31086","sinusot frnt nonoblit w/ostpl flap brow inc",768.1,2931.38
"2743","CPT-31087","sinusot frnt nonoblit w/ostpl flap coronal in",737.62,2815.09
"2744","CPT-31090","sinusot uni 3/> paransl sinuses",685.33,2615.51
"2745","CPT-31200","ethmoidectomy intranasal anterior",388.01,1480.82
"2746","CPT-31201","ethmoidectomy intranasal total",494.72,1888.06
"2747","CPT-31205","ethmoidectomy extranasal total",612.33,2336.91
"2748","CPT-31225","maxillectomy w/o orbital exenteration",1444.4,5598.89
"2749","CPT-31230","maxillectomy w/orbital exenteration",1619.2,6215.92
"2750","CPT-31231","nasal endoscopy diagnostic uni/bi spx",39.09,424.4
"2751","CPT-31233","nasal/sinus endoscopy dx maxillary sinusoscop",69.51,265.27
"2752","CPT-31235","nasal/sinus endoscopy dx sphenoid sinusoscopy",81.43,310.75
"2753","CPT-31237","nasal/sinus ndsc surg w/bx polypect/dbrdmt sp",91.44,767.22
"2754","CPT-31238","nasal/sinus ndsc surg w/control nasal hemrrg",127.93,488.22
"2755","CPT-31239","nasal/sinus ndsc surg w/dacryocstorhinostomy",449.37,1811.03
"2756","CPT-31240","nasal/sinus ndsc surg w/concha bullosa resect",108.64,611.1
"2757","CPT-31241","nasal/sinus ndsc w/lig sphenopalatine artery",318.54,1215.67
"2758","CPT-31253","nasal/sinus ndsc tot w/frnt sins expl tiss rm",328.27,1252.81
"2759","CPT-31254","nasal/sinus ndsc w/partial ethmoidectomy",183.28,769.29
"2760","CPT-31255","nasal/sinus ndsc w/total ethoidectomy",267.88,1148.54
"2761","CPT-31256","nasal/sinus endoscopy w/maxillary antrostomy",132.97,590.61
"2762","CPT-31257","nasal/sinus ndsc total with sphenoidotomy",292.22,1115.23
